time,renshu
10,3
11,0
12,11
13,8
14,14
15,14
16,8
17,19
18,16
19,25
20,17
21,26
22,55
23,55
24,43
25,46
26,60
27,62
28,60
29,63
30,48
31,55
32,55
33,54
34,52
35,42
36,65
37,64
38,54
39,75
40,71
41,86
42,78
43,88
44,89
45,69
46,90
47,89
48,75
49,80
50,95
51,75
52,73
53,70
54,69
55,91
56,96
57,94
58,54
59,52
60,82
61,80
62,91
63,106
64,75
65,78
66,80
67,71
68,91
69,76
70,70
71,68
72,69
73,69
74,85
75,120
76,103
77,111
78,95
79,88
80,54
81,50
82,54
83,58
84,44
85,46
86,52
87,47
88,43
89,52
90,53
91,43
92,52
93,36
94,38
95,34
96,58
97,35
98,22
99,58
100,48
101,51
102,49
103,68
104,57
105,69
106,74
107,77
108,66
109,66
110,72
111,89
112,88
113,78
114,69
115,60
116,69
117,69
118,83
119,89
120,98
121,86
122,68
123,55
124,63
125,78
126,73
127,77
128,82
129,89
130,88
131,82
132,96
133,115
134,110
135,107
136,82
137,82
138,113
139,76
140,120
141,114
142,103
143,56
144,53
145,72
146,49
147,96
148,80
149,49
150,81
151,61
152,64
153,81
154,93
155,87
156,74
157,63
158,50
159,69
160,74
161,87
162,70
163,82
164,59
165,69
166,53
167,92
168,99
169,89
170,65
171,79
172,58
173,78
174,78
175,81
176,74
177,57
178,69
179,58
180,81
181,92
182,119
183,65
184,62
185,67
186,73
187,74
188,69
189,68
190,73
191,43
192,87
193,76
194,81
195,112
196,81
197,75
198,57
199,99
200,83
201,81
202,71
203,114
204,80
205,91
206,90
207,70
208,63
209,84
210,86
211,70
212,101
213,104
214,88
215,103
216,107
217,114
218,83
219,112
220,101
221,102
222,113
223,139
224,107
225,44
226,53
227,53
228,71
229,56
230,74
231,83
232,100
233,108
234,120
235,121
236,120
237,119
238,89
239,89
240,75
241,86
242,100
243,89
244,92
245,109
246,102
247,89
248,98
249,94
250,107
251,103
252,124
253,107
254,87
255,65
256,72
257,77
258,92
259,90
260,90
261,89
262,76
263,88
264,105
265,108
266,93
267,107
268,92
269,108
270,76
271,93
272,99
273,91
274,88
275,71
276,87
277,93
278,100
279,116
280,95
281,101
282,64
283,84
284,70
285,72
286,99
287,126
288,147
289,103
290,109
291,99
292,113
293,111
294,109
295,104
296,91
297,96
298,101
299,90
300,107
301,95
302,114
303,82
304,107
305,104
306,95
307,124
308,114
309,67
310,72
311,83
312,102
313,96
314,130
315,87
316,93
317,89
318,99
319,112
320,127
321,104
322,135
323,88
324,126
325,111
326,106
327,135
328,114
329,103
330,143
331,100
332,106
333,132
334,90
335,131
336,102
337,129
338,97
339,122
340,144
341,129
342,92
343,137
344,118
345,110
346,94
347,127
348,98
349,98
350,97
351,87
352,104
353,99
354,99
355,122
356,116
357,152
358,128
359,93
360,153
361,134
362,154
363,161
364,123
365,119
366,98
367,109
368,115
369,149
370,137
371,121
372,105
373,143
374,144
375,123
376,147
377,143
378,127
379,137
380,139
381,140
382,154
383,143
384,147
385,130
386,126
387,125
388,168
389,125
390,141
391,148
392,129
393,109
394,146
395,149
396,132
397,162
398,137
399,141
400,131
401,131
402,154
403,109
404,135
405,158
406,142
407,113
408,129
409,326
410,229
411,195
412,215
413,202
414,193
415,138
416,133
417,146
418,144
419,147
420,135
421,136
422,116
423,134
424,112
425,138
426,145
427,113
428,144
429,134
430,114
431,130
432,117
433,118
434,155
435,128
436,109
437,133
438,101
439,113
440,114
441,163
442,101
443,106
444,105
445,101
446,66
447,84
448,106
449,90
450,95
451,116
452,109
453,116
454,128
455,132
456,118
457,112
458,101
459,114
460,104
461,140
462,124
463,101
464,93
465,87
466,81
467,86
468,84
469,88
470,120
471,101
472,104
473,106
474,108
475,102
476,131
477,121
478,92
479,114
480,95
481,114
482,118
483,92
484,107
485,100
486,99
487,87
488,97
489,127
490,133
491,114
491,114
