time,renshu
250,11
251,39
252,27
253,42
254,22
255,11
256,30
257,31
258,53
259,41
260,43
261,31
262,36
263,24
264,36
265,236
266,137
267,104
268,53
269,37
270,28
271,48
272,193
273,161
274,94
275,43
276,52
277,63
278,89
279,338
280,247
281,98
282,157
283,77
284,53
285,60
286,181
287,140
288,79
289,59
290,53
291,52
292,55
293,210
294,165
295,88
296,65
297,52
298,50
299,72
300,190
301,213
302,126
303,60
304,60
305,67
306,92
307,340
308,233
309,149
310,171
311,93
312,66
313,61
314,176
315,133
316,79
317,56
318,48
319,43
320,64
321,111
322,65
323,105
324,56
325,61
326,46
327,43
328,96
329,71
330,94
331,47
332,45
333,38
334,52
335,108
336,96
337,103
338,55
339,38
340,40
341,52
342,96
343,57
344,70
345,59
346,61
347,214
348,102
349,92
350,144
351,92
352,54
353,40
354,57
355,49
356,95
357,97
358,77
359,59
360,74
361,56
362,64
363,47
364,75
365,72
366,56
367,78
368,89
369,98
370,114
371,91
372,104
373,101
374,124
375,104
376,110
377,19
378,0
379,119
380,64
381,75
382,68
383,107
384,102
385,89
386,119
387,132
388,130
389,108
390,133
391,234
392,84
393,106
394,141
395,135
396,147
397,102
398,109
399,65
400,100
401,69
402,57
403,13
404,62
405,86
406,73
407,68
408,75
409,70
410,99
411,63
412,83
413,78
414,85
415,66
416,59
417,70
418,65
419,121
420,106
421,100
422,75
423,84
424,81
425,81
426,127
427,124
428,123
429,77
430,71
431,78
432,78
433,116
434,116
435,93
436,72
437,63
438,75
439,76
440,86
441,90
442,86
443,48
444,77
445,168
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,47
455,81
456,88
457,101
458,142
459,1
460,117
461,211
462,208
463,142
464,127
465,136
466,152
467,147
468,159
469,61
470,87
471,51
472,55
473,52
474,51
475,122
476,95
477,125
478,68
479,71
480,69
481,72
482,99
483,95
484,125
485,55
486,58
487,62
488,78
489,172
490,194
491,243
491,243
