股票代码,时间,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,2015/12/11,3441.6,3434.58,3410.92,3455.55,182908878,2.45E+11,-0.006054117
sh000001,2015/12/10,3469.81,3455.5,3446.27,3503.65,200427517,2.79E+11,-0.004878414
sh000001,2015/12/9,3462.58,3472.44,3454.88,3495.7,195698845,2.68E+11,0.000682983
sh000001,2015/12/8,3518.65,3470.07,3466.79,3518.65,224367310,2.98E+11,-0.018903399
sh000001,2015/12/7,3529.81,3536.93,3506.62,3543.95,208302579,2.81E+11,0.003387244
sh000001,2015/12/4,3558.15,3524.99,3510.41,3568.97,251736411,3.20E+11,-0.01668982
sh000001,2015/12/3,3525.73,3584.82,3517.23,3591.73,281111255,3.39E+11,0.013545722
sh000001,2015/12/2,3450.28,3536.91,3427.66,3538.85,301491480,3.69E+11,0.023319668
sh000001,2015/12/1,3442.44,3456.31,3417.54,3483.41,252390755,3.30E+11,0.003163629
sh000001,2015/11/30,3433.85,3445.41,3327.81,3470.37,304197903,3.88E+11,0.002651107
sh000001,2015/11/27,3616.54,3436.3,3412.43,3621.9,354287525,4.64E+11,-0.054806013
sh000001,2015/11/26,3659.57,3635.55,3629.86,3668.38,306761582,4.26E+11,-0.003393705
sh000001,2015/11/25,3614.07,3647.93,3607.52,3648.37,273024857,3.81E+11,0.008799511
sh000001,2015/11/24,3602.89,3616.11,3563.1,3616.48,248810524,3.28E+11,0.001603736
sh000001,2015/11/23,3630.87,3610.31,3598.87,3654.75,315997474,4.14E+11,-0.005561217
sh000001,2015/11/20,3620.79,3630.5,3607.92,3640.53,310801972,4.14E+11,0.003715725
sh000001,2015/11/19,3573.78,3617.06,3561.04,3618.21,247915576,3.28E+11,0.01361648
sh000001,2015/11/18,3605.06,3568.47,3558.7,3617.07,297580734,3.92E+11,-0.010075483
sh000001,2015/11/17,3629.98,3604.79,3598.07,3678.27,383575468,5.22E+11,-0.000601615
sh000001,2015/11/16,3522.46,3606.96,3519.42,3607.61,276187057,3.69E+11,0.007294378
sh000001,2015/11/13,3600.76,3580.84,3564.81,3632.56,345870933,4.69E+11,-0.014330149
sh000001,2015/11/12,3656.82,3632.9,3603.23,3659.31,361717600,4.83E+11,-0.004753099
sh000001,2015/11/11,3635,3650.25,3605.62,3654.88,360972651,4.68E+11,0.002680958
sh000001,2015/11/10,3617.4,3640.49,3607.89,3669.53,429746576,5.60E+11,-0.001752183
sh000001,2015/11/9,3588.5,3646.88,3588.5,3673.76,503016682,6.36E+11,0.015835522
sh000001,2015/11/6,3514.44,3590.03,3508.83,3596.38,42916703300,5.43E+11,0.019079323
sh000001,2015/11/5,3459.22,3522.82,3455.53,3585.66,55325494700,6.79E+11,0.018261727
sh000001,2015/11/4,3325.62,3459.64,3325.62,3459.65,33907873000,4.26E+11,0.043098627
sh000001,2015/11/3,3330.32,3316.7,3302.18,3346.28,19289742800,2.44E+11,-0.002523244
sh000001,2015/11/2,3337.58,3325.09,3322.31,3391.06,23095112900,2.86E+11,-0.016991859
sh000001,2015/10/30,3380.28,3382.56,3346.59,3417.2,24359511800,3.07E+11,-0.001403471
sh000001,2015/10/29,3387.77,3387.32,3362.51,3411.71,23567602600,2.95E+11,0.003590606
sh000001,2015/10/28,3417.01,3375.2,3367.23,3439.76,29352328400,3.62E+11,-0.017220214
sh000001,2015/10/27,3409.14,3434.34,3332.62,3441.57,32817276800,4.09E+11,0.001386467
sh000001,2015/10/26,3448.65,3429.58,3402,3457.52,36556085300,4.54E+11,0.005024859
sh000001,2015/10/23,3377.55,3412.43,3360.22,3422.02,34737285400,4.25E+11,0.012970729
sh000001,2015/10/22,3292.29,3368.74,3282.99,3373.78,32373934100,3.75E+11,0.01447386
sh000001,2015/10/21,3428.56,3320.68,3265.44,3447.26,45845542800,5.19E+11,-0.030552969
sh000001,2015/10/20,3377.55,3425.33,3357.86,3425.52,31897375800,3.84E+11,0.011406384
sh000001,2015/10/19,3401.63,3386.7,3355.57,3423.4,37811218300,4.53E+11,-0.001371724
sh000001,2015/10/16,3358.3,3391.35,3334.85,3393.02,39546057500,4.59E+11,0.015961005
sh000001,2015/10/15,3255.03,3338.07,3254.39,3338.3,31628385100,3.63E+11,0.023182641
sh000001,2015/10/14,3280.02,3262.44,3256.25,3307.32,29507773900,3.30E+11,-0.00934918
sh000001,2015/10/13,3262.16,3293.23,3253.25,3298.63,29715313300,3.35E+11,0.001693605
sh000001,2015/10/12,3193.54,3287.66,3188.41,3318.71,38629471500,4.36E+11,0.032832237
sh000001,2015/10/9,3146.64,3183.15,3137.79,3192.72,23485144500,2.56E+11,0.012660032
sh000001,2015/10/8,3156.08,3143.36,3133.13,3172.28,23427605000,2.59E+11,0.029669996
sh000001,2015/9/30,3052.84,3052.78,3039.74,3073.3,14664244900,1.57E+11,0.004820059
sh000001,2015/9/29,3055.22,3038.14,3021.16,3068.3,16322267300,1.70E+11,-0.020194753
sh000001,2015/9/28,3085.57,3100.76,3042.31,3103.07,15672753000,1.66E+11,0.002719294
sh000001,2015/9/25,3130.85,3092.35,3063,3149.95,23626387100,2.49E+11,-0.01601814
sh000001,2015/9/24,3126.49,3142.69,3109.69,3151.17,21288772300,2.31E+11,0.008600758
sh000001,2015/9/23,3137.72,3115.89,3104.74,3164.04,23632267000,2.58E+11,-0.021889309
sh000001,2015/9/22,3161.32,3185.62,3152.48,3213.48,27478615400,3.05E+11,0.009212302
sh000001,2015/9/21,3072.09,3156.54,3060.86,3159.88,23989735400,2.60E+11,0.01892336
sh000001,2015/9/18,3100.28,3097.92,3070.34,3122.05,20917539800,2.18E+11,0.003841791
sh000001,2015/9/17,3131.98,3086.06,3085.31,3204.7,31760289200,3.37E+11,-0.02100142
sh000001,2015/9/16,2998.04,3152.26,2983.54,3182.93,27752452400,2.82E+11,0.048945951
sh000001,2015/9/15,3043.81,3005.17,2983.92,3081.7,24919444500,2.44E+11,-0.03519522
sh000001,2015/9/14,3221.17,3114.8,3049.23,3229.48,34663115800,3.74E+11,-0.026696798
sh000001,2015/9/11,3189.48,3200.23,3163.45,3223.76,22455782200,2.53E+11,0.000732045
sh000001,2015/9/10,3190.55,3197.89,3178.9,3243.28,27326175900,3.00E+11,-0.013936096
sh000001,2015/9/9,3182.55,3243.09,3165.7,3256.74,37532797800,4.13E+11,0.022910613
sh000001,2015/9/8,3054.44,3170.45,3011.12,3174.71,25541546500,2.64E+11,0.029227183
sh000001,2015/9/7,3149.38,3080.42,3066.3,3217.58,29646811400,3.03E+11,-0.025235059
sh000001,2015/9/2,3027.68,3160.17,3019.09,3194.49,43817015300,4.23E+11,-0.00203908
sh000001,2015/9/1,3157.83,3166.62,3053.74,3180.33,43243246800,4.20E+11,-0.012277658
sh000001,2015/8/31,3203.56,3205.99,3109.16,3207.86,39743138200,4.31E+11,-0.008156295
sh000001,2015/8/28,3125.26,3232.35,3102.95,3235.84,44313692800,4.75E+11,0.048242131
sh000001,2015/8/27,2978.03,3083.59,2906.49,3085.42,40030839800,4.04E+11,0.053395156
sh000001,2015/8/26,2980.79,2927.29,2850.71,3092.04,46669966300,4.62E+11,-0.012708067
sh000001,2015/8/25,3004.13,2964.97,2947.94,3123.03,35232511000,3.59E+11,-0.076306931
sh000001,2015/8/24,3373.48,3209.91,3191.88,3388.36,33467179200,3.59E+11,-0.08490899
sh000001,2015/8/21,3609.96,3507.74,3490.54,3652.84,36992047900,4.51E+11,-0.042722317
sh000001,2015/8/20,3754.57,3664.29,3663.61,3788.01,39006305700,5.01E+11,-0.034215675
sh000001,2015/8/19,3646.8,3794.11,3558.38,3811.43,47539623900,6.00E+11,0.012258002
sh000001,2015/8/18,3999.13,3748.16,3743.39,4006.34,54377082200,7.22E+11,-0.061473312
sh000001,2015/8/17,3947.84,3993.67,3907.4,3994.54,46043206000,6.26E+11,0.007145172
sh000001,2015/8/14,3976.41,3965.34,3939.84,4000.68,46798821700,6.47E+11,0.002725717
sh000001,2015/8/13,3869.91,3954.56,3838.16,3955.79,43007330300,5.79E+11,0.017557998
sh000001,2015/8/12,3881.23,3886.32,3871.14,3937.77,44268827800,5.97E+11,-0.010587824
sh000001,2015/8/11,3928.81,3927.91,3891.18,3970.34,53892346000,7.12E+11,-0.00012906
sh000001,2015/8/10,3786.03,3928.42,3775.85,3943.62,49730431900,6.53E+11,0.049198695
sh000001,2015/8/7,3692.61,3744.21,3686.3,3756.74,34075718400,4.45E+11,0.022576845
sh000001,2015/8/6,3625.5,3661.54,3614.74,3710.57,27407466300,3.58E+11,-0.008941223
sh000001,2015/8/5,3745.65,3694.57,3676.39,3782.35,36642297900,4.84E+11,-0.016497074
sh000001,2015/8/4,3621.86,3756.55,3601.29,3757.03,36290166600,4.64E+11,0.036887525
sh000001,2015/8/3,3614.99,3622.91,3549.5,3648.94,36396873100,4.46E+11,-0.011141936
sh000001,2015/7/31,3655.67,3663.73,3620.17,3729.51,35095574500,4.60E+11,-0.011344483
sh000001,2015/7/30,3773.79,3705.77,3685.96,3844.37,45794322800,6.16E+11,-0.022010637
